prefix,URI,Title,Languages,VersionName,VersionDate,Link,Folder
a-loc,https://w3id.org/arco/ontology/location,Location Ontology (ArCo network), en it ,v1.2,2020-03-27,https://lov.linkeddata.es/dataset/lov/vocabs/a-loc/versions/2020-03-27.n3,LOV_Full
ac,http://rs.tdwg.org/ac/terms/,Core terms defined by Audubon Core, en ,v2023-05-09,2023-05-09,https://lov.linkeddata.es/dataset/lov/vocabs/ac/versions/2023-05-09.n3,LOV_Full
acco,http://purl.org/acco/ns,Accomodation Ontology, en ,v1.0,2013-03-25,https://lov.linkeddata.es/dataset/lov/vocabs/acco/versions/2013-03-25.n3,LOV_Full
acl,http://www.w3.org/ns/auth/acl,Basic Access Control ontology, en ,v2012-12-18,2012-12-18,https://lov.linkeddata.es/dataset/lov/vocabs/acl/versions/2012-12-18.n3,LOV_Full
acm,http://www.rkbexplorer.com/ontologies/acm,ACM Classification Ontology, en ,v1998,2013-04-25,https://lov.linkeddata.es/dataset/lov/vocabs/acm/versions/2013-04-25.n3,LOV_Full
acrt,http://privatealpha.com/ontology/certification/1#,Agent Certification Ontology, en ,v2014-01-23,2014-01-23,https://lov.linkeddata.es/dataset/lov/vocabs/acrt/versions/2014-01-23.n3,LOV_Full
adms,http://www.w3.org/ns/adms,Asset Description Metadata Schema, en ,v2015-07-22,2015-07-22,https://lov.linkeddata.es/dataset/lov/vocabs/adms/versions/2015-07-22.n3,LOV_Full
af,http://purl.org/ontology/af/,Audio Features Ontology, ,v1.1,2008-06-23,https://lov.linkeddata.es/dataset/lov/vocabs/af/versions/2008-06-23.n3,LOV_Full
agls,http://www.agls.gov.au/agls/terms,AGLS Metadata Terms, en ,v2010-06-30,2010-06-30,https://lov.linkeddata.es/dataset/lov/vocabs/agls/versions/2010-06-30.n3,LOV_Full
agr,http://promsns.org/def/agr,Agreements ontology, en ,v2017-10-09,2017-10-09,https://lov.linkeddata.es/dataset/lov/vocabs/agr/versions/2017-10-09.n3,LOV_Full
agrelon,http://d-nb.info/standards/elementset/agrelon,Agent Relationship Ontology, de en es it ,v1.5,2019-06-13,https://lov.linkeddata.es/dataset/lov/vocabs/agrelon/versions/2019-06-13.n3,LOV_Full
aiiso,http://purl.org/vocab/aiiso/schema,Academic Institution Internal Structure Ontology, en ,v2008-09-25,2008-09-25,https://lov.linkeddata.es/dataset/lov/vocabs/aiiso/versions/2008-09-25.n3,LOV_Full
airo,https://w3id.org/AIRO,AI Risk Ontology, en ,v0.3,2021-01-20,https://lov.linkeddata.es/dataset/lov/vocabs/airo/versions/2021-01-20.n3,LOV_Full
airs,https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#,Alliance of Information and Referral Services (AIRS) Vocabulary, en es fr ,v0.0.11,2015-02-15,https://lov.linkeddata.es/dataset/lov/vocabs/airs/versions/2015-02-15.n3,LOV_Full
akt,http://www.aktors.org/ontology/portal,AKT Reference Ontology, en ,v2003-02-10,2003-02-10,https://lov.linkeddata.es/dataset/lov/vocabs/akt/versions/2003-02-10.n3,LOV_Full
akts,http://www.aktors.org/ontology/support,AKT Support Ontology, en ,v2.0,2003-02-10,https://lov.linkeddata.es/dataset/lov/vocabs/akts/versions/2003-02-10.n3,LOV_Full
algo,http://securitytoolbox.appspot.com/securityAlgorithms#,Algorithms Ontology, en ,v2015-01-11,2015-01-11,https://lov.linkeddata.es/dataset/lov/vocabs/algo/versions/2015-01-11.n3,LOV_Full
am,http://open-services.net/ns/asset#,OSLC Asset Management Vocabulary, ,v2.0,2012-08-24,https://lov.linkeddata.es/dataset/lov/vocabs/am/versions/2012-08-24.n3,LOV_Full
aml,https://w3id.org/i40/aml,AutomationML Ontology, de en ,v0.1,2016-03-23,https://lov.linkeddata.es/dataset/lov/vocabs/aml/versions/2016-03-23.n3,LOV_Full
amlo-core,http://w3id.org/amlo/core,AMLO-core vocabulary, en it ,vdev-1.0.1,2020-01-01,https://lov.linkeddata.es/dataset/lov/vocabs/amlo-core/versions/2020-01-01.n3,LOV_Full
